,pathwayID,numbers
0,R-HSA-8932633,1
1,R-HSA-9609310,25
2,R-HSA-2872497,2
3,R-HSA-8848663,2
4,R-HSA-5432849,9
5,R-HSA-5617472,1
6,R-HSA-9651496,3
7,R-HSA-3560802,2
8,R-HSA-8864729,1
9,R-HSA-8864718,1
10,R-HSA-2453818,2
11,R-HSA-480470,1
12,R-HSA-5617179,2
13,R-HSA-1980056,2
14,R-HSA-2032800,2
15,R-HSA-5696074,3
16,R-HSA-200406,1
17,R-HSA-425482,2
18,R-HSA-5678418,10
19,R-HSA-8981570,1
20,R-HSA-597628,1
21,R-HSA-5625674,4
22,R-HSA-372448,2
23,R-HSA-8857928,1
24,R-HSA-5623806,8
25,R-HSA-549297,2
26,R-HSA-5661039,6
27,R-HSA-5578777,2
28,R-HSA-5682111,4
29,R-HSA-426155,5
30,R-HSA-429094,3
31,R-HSA-5627891,3
32,R-HSA-9013533,3
33,R-HSA-2168038,2
34,R-HSA-372449,1
35,R-HSA-1912407,2
36,R-HSA-5615556,1
37,R-HSA-9656207,5
38,R-HSA-9656213,5
39,R-HSA-9656212,5
40,R-HSA-9656214,5
41,R-HSA-9656215,5
42,R-HSA-9656211,5
43,R-HSA-9656209,7
44,R-HSA-2514772,1
45,R-HSA-9660538,6
46,R-HSA-9660536,2
47,R-HSA-9658445,3
48,R-HSA-9651280,4
49,R-HSA-6803233,2
50,R-HSA-6803240,3
51,R-HSA-9652165,3
52,R-HSA-6802834,3
53,R-HSA-1678694,1
54,R-HSA-9674397,1
55,R-HSA-996755,1
56,R-HSA-6789615,1
57,R-HSA-3595178,1
58,R-HSA-3595176,1
59,R-HSA-6802938,3
60,R-HSA-5624126,2
61,R-HSA-5604975,1
62,R-HSA-9036102,1
63,R-HSA-1971491,1
64,R-HSA-9632034,1
65,R-HSA-5610766,2
66,R-HSA-5610767,2
67,R-HSA-9684218,2
68,R-HSA-9686174,2
69,R-HSA-451366,1
70,R-HSA-376123,1
71,R-HSA-3656261,3
72,R-HSA-9036283,3
73,R-HSA-9036285,3
74,R-HSA-3656257,3
75,R-HSA-2262743,2
76,R-HSA-9036046,2
77,R-HSA-6781867,2
78,R-HSA-5661198,2
79,R-HSA-9687724,1
80,R-HSA-2473152,2
81,R-HSA-2033472,1
82,R-HSA-9684238,2
83,R-HSA-9684234,2
84,R-HSA-2197698,1
85,R-HSA-5661188,1
86,R-HSA-5607838,1
87,R-HSA-8866601,1
88,R-HSA-5602712,1
89,R-HSA-70634,1
90,R-HSA-9681514,3
91,R-HSA-912496,1
92,R-HSA-9681616,1
93,R-HSA-9684229,2
94,R-HSA-9685639,1
95,R-HSA-2033474,1
96,R-HSA-2029984,2
97,R-HSA-6782004,3
98,R-HSA-2197691,1
99,R-HSA-6782138,2
100,R-HSA-376122,1
