,name,Identifier
0,Cardiovascular Diseases,R-HSA-9008059
1,Cardiovascular Diseases,R-HSA-9029569
2,Cardiovascular Diseases,R-HSA-9018679
3,Cardiovascular Diseases,R-HSA-2682334
4,Cardiovascular Diseases,R-HSA-9033658
5,Cardiovascular Abnormalities,R-HSA-5617472
6,Cardiovascular Abnormalities,R-HSA-9651496
7,Heart Defects,R-HSA-3560801
8,Heart Defects,R-HSA-8866906
9,Heart Defects,R-HSA-8864260
10,Heart Defects,R-HSA-8866910
11,Heart Defects,R-HSA-5619053
12,Heart Defects,R-HSA-5678420
13,Heart Defects,R-HSA-5619092
14,Heart Defects,R-HSA-5682113
15,Heart Defects,R-HSA-5619039
16,Heart Defects,R-HSA-5619108
17,Heart Defects,R-HSA-8986944
18,Heart Defects,R-HSA-3785653
19,DiGeorge Syndrome,R-HSA-372449
20,Alagille Syndrome,R-HSA-1980145
21,Alagille Syndrome,R-HSA-1912408
22,Barth Syndrome,R-HSA-5615556
23,LEOPARD Syndrome,R-HSA-9656223
24,Marfan Syndrome,R-HSA-1566948
25,Noonan Syndrome,R-HSA-9660537
26,Noonan Syndrome,R-HSA-9656223
27,Noonan Syndrome,R-HSA-6802949
28,Noonan Syndrome,R-HSA-9652169
29,Turner Syndrome,R-HSA-5619092
30,Turner Syndrome,R-HSA-8986944
31,Turner Syndrome,R-HSA-5678420
32,Turner Syndrome,R-HSA-5655302
33,Turner Syndrome,R-HSA-1839117
34,Turner Syndrome,R-HSA-9660537
35,Turner Syndrome,R-HSA-6802949
36,Turner Syndrome,R-HSA-1839122
37,Turner Syndrome,R-HSA-9656223
38,Turner Syndrome,R-HSA-1226099
39,Turner Syndrome,R-HSA-9674415
40,Turner Syndrome,R-HSA-1839126
41,Turner Syndrome,R-HSA-9646304
42,Turner Syndrome,R-HSA-9646303
43,Vascular Malformations,R-HSA-8864260
44,May-Thurner Syndrome,R-HSA-5603027
45,May-Thurner Syndrome,R-HSA-5620920
46,May-Thurner Syndrome,R-HSA-3656253
47,May-Thurner Syndrome,R-HSA-9679509
48,May-Thurner Syndrome,R-HSA-8851708
49,May-Thurner Syndrome,R-HSA-8986944
50,May-Thurner Syndrome,R-HSA-6781823
51,May-Thurner Syndrome,R-HSA-5260271
52,May-Thurner Syndrome,R-HSA-5619095
53,May-Thurner Syndrome,R-HSA-5624958
54,May-Thurner Syndrome,R-HSA-5602358
55,May-Thurner Syndrome,R-HSA-5619058
56,May-Thurner Syndrome,R-HSA-5602415
57,May-Thurner Syndrome,R-HSA-5603041
58,May-Thurner Syndrome,R-HSA-5603037
59,May-Thurner Syndrome,R-HSA-9022927
60,May-Thurner Syndrome,R-HSA-9022699
61,May-Thurner Syndrome,R-HSA-9682708
62,May-Thurner Syndrome,R-HSA-5358508
63,May-Thurner Syndrome,R-HSA-9678110
64,May-Thurner Syndrome,R-HSA-6802949
65,May-Thurner Syndrome,R-HSA-9679504
66,May-Thurner Syndrome,R-HSA-6782135
67,May-Thurner Syndrome,R-HSA-3238698
68,May-Thurner Syndrome,R-HSA-9022692
69,May-Thurner Syndrome,R-HSA-9616334
70,May-Thurner Syndrome,R-HSA-1226099
71,May-Thurner Syndrome,R-HSA-8936459
72,May-Thurner Syndrome,R-HSA-9605310
73,May-Thurner Syndrome,R-HSA-2219528
74,May-Thurner Syndrome,R-HSA-5628897
75,May-Thurner Syndrome,R-HSA-5619066
76,May-Thurner Syndrome,R-HSA-9616333
77,May-Thurner Syndrome,R-HSA-6781827
