,pathwayID,numbers
0,R-HSA-9008059,2
1,R-HSA-9029569,2
2,R-HSA-9018679,3
3,R-HSA-2682334,1
4,R-HSA-9033658,4
5,R-HSA-5617472,1
6,R-HSA-9651496,9
7,R-HSA-3560801,4
8,R-HSA-8866906,2
9,R-HSA-8864260,3
10,R-HSA-8866910,2
11,R-HSA-5619053,4
12,R-HSA-5678420,12
13,R-HSA-5619092,5
14,R-HSA-5682113,7
15,R-HSA-5619039,8
16,R-HSA-5619108,5
17,R-HSA-8986944,7
18,R-HSA-3785653,2
19,R-HSA-372449,1
20,R-HSA-1980145,2
21,R-HSA-1912408,7
22,R-HSA-5615556,1
23,R-HSA-9656223,5
24,R-HSA-1566948,4
25,R-HSA-9660537,5
26,R-HSA-6802949,4
27,R-HSA-9652169,2
28,R-HSA-5655302,6
29,R-HSA-1839117,1
30,R-HSA-1839122,4
31,R-HSA-1226099,6
32,R-HSA-9674415,2
33,R-HSA-1839126,1
34,R-HSA-9646304,1
35,R-HSA-9646303,1
36,R-HSA-5603027,2
37,R-HSA-5620920,2
38,R-HSA-3656253,4
39,R-HSA-9679509,1
40,R-HSA-8851708,1
41,R-HSA-6781823,3
42,R-HSA-5260271,1
43,R-HSA-5619095,1
44,R-HSA-5624958,1
45,R-HSA-5602358,1
46,R-HSA-5619058,2
47,R-HSA-5602415,1
48,R-HSA-5603041,1
49,R-HSA-5603037,1
50,R-HSA-9022927,1
51,R-HSA-9022699,1
52,R-HSA-9682708,1
53,R-HSA-5358508,3
54,R-HSA-9678110,2
55,R-HSA-9679504,1
56,R-HSA-6782135,3
57,R-HSA-3238698,1
58,R-HSA-9022692,1
59,R-HSA-9616334,2
60,R-HSA-8936459,1
61,R-HSA-9605310,2
62,R-HSA-2219528,2
63,R-HSA-5628897,3
64,R-HSA-5619066,2
65,R-HSA-9616333,1
66,R-HSA-6781827,3
67,R-HSA-3248023,3
68,R-HSA-9012852,5
69,R-HSA-9609646,1
70,R-HSA-8878166,3
71,R-HSA-9033241,2
72,R-HSA-195258,4
73,R-HSA-8951664,3
74,R-HSA-9635486,2
75,R-HSA-9637687,1
76,R-HSA-9637679,1
77,R-HSA-9637698,1
78,R-HSA-9635465,1
79,R-HSA-9636383,1
80,R-HSA-1222387,1
81,R-HSA-9636467,1
82,R-HSA-9637690,1
83,R-HSA-1222541,1
84,R-HSA-9636667,1
85,R-HSA-9635644,1
86,R-HSA-9637628,1
87,R-HSA-9636249,1
88,R-HSA-9639775,1
89,R-HSA-1222499,1
90,R-HSA-1222449,1
91,R-HSA-1222538,1
92,R-HSA-9636569,1
93,R-HSA-5663205,1
94,R-HSA-5621575,2
95,R-HSA-5621481,2
96,R-HSA-1834941,1
97,R-HSA-9660826,1
98,R-HSA-1643685,1
99,R-HSA-5668541,2
100,R-HSA-9615017,4
101,R-HSA-2046106,2
102,R-HSA-9629232,11
103,R-HSA-392499,3
104,R-HSA-201451,6
105,R-HSA-9684068,1
106,R-HSA-9609310,9
107,R-HSA-5576895,1
108,R-HSA-8963889,2
109,R-HSA-1296071,2
110,R-HSA-163560,3
111,R-HSA-9615249,2
112,R-HSA-9614933,1
113,R-HSA-6802938,1
114,R-HSA-9621032,1
115,R-HSA-9621048,1
116,R-HSA-164508,1
117,R-HSA-5577050,1
118,R-HSA-3656237,2
119,R-HSA-9683439,1
120,R-HSA-9678108,2
121,R-HSA-9679506,1
122,R-HSA-9673766,2
123,R-HSA-5620922,1
124,R-HSA-5083625,2
125,R-HSA-5579004,1
126,R-HSA-5619109,1
127,R-HSA-3828062,2
128,R-HSA-5655799,1
129,R-HSA-5619049,1
130,R-HSA-1236394,3
131,R-HSA-6804425,1
132,R-HSA-8867667,1
133,R-HSA-1482798,1
134,R-HSA-5619098,1
135,R-HSA-5619087,3
136,R-HSA-5619104,1
137,R-HSA-5619054,1
138,R-HSA-5619050,2
139,R-HSA-9657689,5
140,R-HSA-9657688,4
141,R-HSA-9671793,7
142,R-HSA-5210891,1
143,R-HSA-9018677,1
144,R-HSA-1912416,1
145,R-HSA-5685939,1
146,R-HSA-430116,5
147,R-HSA-5655332,3
148,R-HSA-8853338,3
149,R-HSA-9611277,2
150,R-HSA-5432849,3
151,R-HSA-5679090,2
152,R-HSA-75205,2
153,R-HSA-2396079,1
154,R-HSA-3779381,1
155,R-HSA-9603302,3
156,R-HSA-9015379,3
157,R-HSA-9015111,3
158,R-HSA-9015122,3
159,R-HSA-111919,2
160,R-HSA-9026967,3
161,R-HSA-9671555,3
162,R-HSA-1474290,3
163,R-HSA-194138,2
164,R-HSA-3299685,1
165,R-HSA-162582,2
166,R-HSA-5619068,1
167,R-HSA-2470946,1
168,R-HSA-2206307,3
169,R-HSA-4043916,2
170,R-HSA-5693565,2
171,R-HSA-9653249,1
172,R-HSA-5657560,1
173,R-HSA-3359454,1
174,R-HSA-3359463,1
175,R-HSA-3359462,1
176,R-HSA-5658471,1
177,R-HSA-5619114,1
178,R-HSA-5619097,1
179,R-HSA-73857,1
180,R-HSA-427589,1
181,R-HSA-2206296,2
182,R-HSA-156580,1
