,pathwayID,numbers
0,ABCG5 gene,1
1,ABCG8 gene,1
2,PITX2 Gene,1
3,"p-S23,S24-TNNI3",2
4,TNNI3,2
5,JAG1,4
6,GPIHBP1,5
7,DSCAM,2
8,HMGN1,2
9,XPA,2
10,EP300,2
11,TCEA1,2
12,ERCC5,2
13,NOP10,2
14,DKC1,2
15,Telomerase RNA Component (TERC),2
16,TERT,2
17,GAR1,2
18,WRAP53,2
19,NHP2,2
20,PLCG1,11
21,NF1(2-2839),1
22,SUFU,3
23,FOXG1,1
24,MEN1,1
25,BTN2A1,3
26,CD209,3
27,RTEL1,1
28,DGCR8,2
29,GPS2,1
30,ABCG1 gene,1
31,P2RY12,9
32,AGTR1,8
33,LPA,2
34,ACE(30-1232),9
35,SCUBE3(?-993),4
36,SCUBE3(21-?),4
37,SCUBE3,4
38,TPH1 gene,1
39,EGR1,1
40,pre-rRNA containing 7-methylG-1639,2
41,pre-rRNA,2
42,18SE pre-rRNA containing 1-methylpseudoU-1248,1
43,pre-rRNA containing pseudouridine,1
44,BBS1,2
45,BBS9,2
46,BBS4,2
47,TTC8,2
48,BBS7,2
49,BBS5,2
50,BBIP1,2
51,BBS2,2
52,Ile-tRNA(Ile),1
53,tRNA(Ile),1
54,TIMMDC1,1
55,NDUFAF4,1
56,NDUFAF3,1
57,tRNA containing 1-methylG-9,1
58,tRNA containing G-9,1
59,tRNA containing 1-methylA-9,1
60,tRNA containing A-9,1
61,12S rRNA containing 5-methylC-841,1
62,12S rRNA,1
63,TFR2,1
64,HDAC4,1
65,CTF1,1
66,RRAD gene,1
67,CHD4,1
68,NAB2,1
69,VLDLR,3
70,PCSK9,1
71,POU4F2,1
72,ADRB3,1
73,EF,2
74,PIK3CA,2
75,LPL,4
76,SERPINE1,10
77,VTN,4
78,p-S133-CREB1,3
79,CREB1,3
80,VCAM1,1
81,BTNL2,1
82,HSPG2(22-4391),1
83,PalmC-F3,4
84,sequestered tissue factor,4
85,TNC,4
86,APOC2,1
87,APOC3,1
88,APOE,1
89,APOC4,1
90,APOC1,1
91,LRP1,1
92,LRP8,1
93,OLR1,1
94,AGER,1
95,HILPDA,1
96,USP19,1
97,ARNT,1
98,HIF1A,4
99,NICD1,1
100,CREBBP,1
101,BNIP3L Gene,1
102,E2F1 gene,1
103,p-S17-FUNDC1,1
104,RUNX2 gene,1
105,TWIST1,1
106,UBE2I,2
107,VHL,1
108,"p-Y700,Y731,Y774-CBL",1
109,CBL,1
110,2xHP-HIF1A,2
111,PTK6 Gene,2
112,IGFBP3 Gene,1
113,RAD51 gene,1
114,NFKBIA,1
115,ARNTL,1
116,HP-HIF3A,2
117,HIF3A,2
118,2xHP-EPAS1,2
119,EPAS1,3
120,DDIT4,1
121,KDM4B,1
122,MET,1
123,ULK1,2
124,FUNDC1,1
125,p-S13-FUNDC1,1
126,EDN1,1
127,EDN1(53-90),1
128,MyrG-CDK5R1(2-98),1
129,CDK5R1(99-307),1
130,MyrG-CDK5R1(2-307),1
131,p-Y565-HIF1A,2
132,"p-Y565,S797-HIF1A",1
133,PELP1,1
134,UBXN7,1
135,PLG(20-810),6
136,HRG,6
137,F5(535-737),4
138,SERPIND1,4
139,F5(335-534),4
140,pro-MST1,1
141,OSCAR,1
142,CLUAP,1
143,TTC26,1
144,IFT81,1
145,IFT172,1
146,IFT80,1
147,TRAF3IP1,1
148,RABL5,1
149,HSPB11,1
150,IFT52,1
151,IFT74,1
152,IFT88,1
153,IFT46,1
154,IFT57,1
155,IFT27,1
156,HMMR,1
157,TPX2,1
158,FRS2,4
159,p-S456-ABL1,2
160,ABL1,2
161,p-T68-CHEK2,2
162,p-S645-DCLRE1C,2
163,"p-S1981,Ac-K3016-ATM",2
164,ATM,4
165,PEX5,2
166,MRE11A,2
167,AGT(34-43),5
168,AGT,3
169,TACR3,1
170,TAC3,1
171,AGT(34-41),2
172,NTS(151-160),1
173,NTS(161-163),1
174,NTS(151-163),1
175,ADORA2B,1
