,name,numbers
0,Cardiovascular Diseases,11
1,Cardiovascular Abnormalities,2
2,Heart Defects,14
3,DiGeorge Syndrome,1
4,Alagille Syndrome,2
5,Barth Syndrome,1
6,LEOPARD Syndrome,1
7,Marfan Syndrome,1
8,Noonan Syndrome,4
9,Turner Syndrome,14
10,Vascular Malformations,2
11,May-Thurner Syndrome,41
12,Vascular Ring,1
13,Pericarditis,0
14,Heart Diseases,19
15,Arrhythmias,4
16,Atrial Fibrillation,1
17,Atrial Flutter,0
18,Bradycardia,0
19,Cardiac Complexes,5
20,Heart Block,3
21,Adams-Stokes Syndrome,3
22,Bundle-Branch Block,1
23,Long QT Syndrome,1
24,Andersen Syndrome,1
25,Romano-Ward Syndrome,5
26,Pre-Excitation Syndromes,12
27,Lown-Ganong-Levine Syndrome,2
28,Wolff-Parkinson-White Syndrome,6
29,Tachycardia,1
30,Ventricular Fibrillation,1
31,Cardiac Output,1
32,Cardiomegaly,1
33,Cardiomyopathy,7
34,Hypertrophy,2
35,Cardiomyopathies,1
36,Myocarditis,0
37,Cardiotoxicity,1
38,Heart Arrest,2
39,Heart Failure,5
40,Cardio-Renal Syndrome,8
41,Edema,7
42,Heart Neoplasms,1
43,Carney Complex,1
44,Heart Rupture,2
45,Williams Syndrome,7
46,Heart Valve Prolapse,0
47,Mitral Valve Prolapse,0
48,Myocardial Ischemia,2
49,Acute Coronary Syndrome,2
50,Angina Pectoris,1
51,Angina,1
52,Coronary Disease,3
53,Coronary Artery Disease,1
54,Coronary Thrombosis,2
55,Myocardial Infarction,2
56,Pulmonary Heart Disease,2
57,Embolism,6
58,Vascular Diseases,17
59,Aneurysm,1
60,Loeys-Dietz Syndrome,2
61,Klippel-Trenaunay-Weber Syndrome,5
62,Sturge-Weber Syndrome,5
63,Angioedemas,4
64,Hereditary Angioedema Type III,1
65,Aortic Diseases,6
66,Arteriosclerosis,0
67,Atherosclerosis,19
68,Cerebrovascular Disorders,2
69,Basal Ganglia Cerebrovascular Disease,1
70,Brain Ischemia,1
71,Brain Infarction,1
72,Cerebral Infarction,0
73,CADASIL,2
74,Infarction,2
75,Hypoxia-Ischemia,28
76,Ischemic Attack,0
77,Fabry Disease,1
78,Intracranial Embolism and Thrombosis,8
79,Intracranial Thrombosis,1
80,Intracranial Hemorrhages,1
81,Vasculitis,1
82,Giant Cell Arteritis,0
83,Lupus Vasculitis,0
84,Vasospasm,0
85,Colitis,1
86,Compartment Syndromes,5
87,Intra-Abdominal Hypertension,1
88,Embolism and Thrombosis,14
89,Pulmonary Embolism,5
90,Pulmonary Infarction,1
91,Thromboembolism,1
92,Venous Thromboembolism,0
93,Thrombosis,8
94,Venous Thrombosis,1
95,Hemostatic Disorders,2
96,Ehlers-Danlos Syndrome,3
97,Multiple Myeloma,9
98,Pseudoxanthoma Elasticum,1
99,Purpura,0
100,Telangiectasia,4
101,Waldenstrom Macroglobulinemia,0
102,Hypertension,6
103,Essential Hypertension,1
104,Hypotension,4
105,Post-Exercise Hypotension,1
106,Optic Neuropathy,1
107,Raynaud Disease,1
108,CREST Syndrome,3
109,Reperfusion Injury,1
110,Spinal Cord Ischemia,1
111,Ataxia Telangiectasia,3
112,Arteritis,0
113,Polyarteritis Nodosa,0
114,Behcet Syndrome,0
115,Systemic Vasculitis,0
116,Rheumatoid Vasculitis,1
117,Cardiovascular Infection,4
118,Hemorrhoid,0
119,Peripheral Vascular Disease,2
120,Vascular Neoplasm,1
