,name,numbers
0,Cardiovascular Diseases,15
1,Cardiovascular Abnormalities,2
2,Heart Defects,28
3,DiGeorge Syndrome,1
4,Alagille Syndrome,2
5,Barth Syndrome,1
6,LEOPARD Syndrome,7
7,Marfan Syndrome,1
8,Noonan Syndrome,15
9,Turner Syndrome,16
10,Vascular Malformations,2
11,May-Thurner Syndrome,83
12,Vascular Ring,1
13,Tuberculosis,87
14,Pericarditis,0
15,Heart Diseases,23
16,Arrhythmias,6
17,Atrial Fibrillation,2
18,Atrial Flutter,0
19,Bradycardia,0
20,Cardiac Complexes,4
21,Heart Block,3
22,Adams-Stokes Syndrome,3
23,Bundle-Branch Block,1
24,Long QT Syndrome,1
25,Andersen Syndrome,1
26,Romano-Ward Syndrome,8
27,Pre-Excitation Syndromes,23
28,Lown-Ganong-Levine Syndrome,5
29,Wolff-Parkinson-White Syndrome,7
30,Tachycardia,5
31,Ventricular Fibrillation,2
32,Cardiac Output,2
33,Cardiomegaly,1
34,Cardiomyopathy,27
35,Hypertrophy,14
36,Cardiomyopathies,3
37,Myocarditis,0
38,Cardiotoxicity,1
39,Heart Arrest,2
40,Heart Failure,10
41,Cardio-Renal Syndrome,19
42,Edema,14
43,Heart Neoplasms,1
44,Carney Complex,4
45,Heart Rupture,2
46,Williams Syndrome,19
47,Heart Valve Prolapse,0
48,Mitral Valve Prolapse,0
49,Myocardial Ischemia,3
50,Acute Coronary Syndrome,2
51,Angina Pectoris,1
52,Angina,1
53,Coronary Disease,8
54,Coronary Artery Disease,4
55,Coronary Thrombosis,2
56,Myocardial Infarction,5
57,Pulmonary Heart Disease,2
58,Embolism,6
59,Vascular Diseases,15
60,Aneurysm,1
61,Loeys-Dietz Syndrome,3
62,Klippel-Trenaunay-Weber Syndrome,17
63,Sturge-Weber Syndrome,17
64,Angioedemas,8
65,Hereditary Angioedema Type III,1
66,Hereditary Angioedema Types I and II,1218
67,Aortic Diseases,5
68,Arteriosclerosis,0
69,Atherosclerosis,31
70,Dementia,28
71,Cerebrovascular Disorders,2
72,Basal Ganglia Cerebrovascular Disease,1
73,Brain Ischemia,3
74,Brain Infarction,1
75,Cerebral Infarction,0
76,CADASIL,1
77,Infarction,5
78,Hypoxia-Ischemia,72
79,Ischemic Attack,0
80,Fabry Disease,1
81,Stroke,10
82,Intracranial Embolism and Thrombosis,23
83,Intracranial Thrombosis,1
84,Intracranial Hemorrhages,1
85,Vasculitis,1
86,Giant Cell Arteritis,0
87,Lupus Vasculitis,0
88,Vasospasm,0
89,Colitis,5
90,Compartment Syndromes,23
91,Intra-Abdominal Hypertension,1
92,Embolism and Thrombosis,23
93,Pulmonary Embolism,5
94,Pulmonary Infarction,1
95,Thromboembolism,1
96,Venous Thromboembolism,0
97,Thrombosis,19
98,Venous Thrombosis,4
99,Hemostatic Disorders,2
100,Ehlers-Danlos Syndrome,10
101,Multiple Myeloma,28
102,Pseudoxanthoma Elasticum,1
103,Purpura,0
104,Telangiectasia,10
105,Waldenstrom Macroglobulinemia,0
106,Hypertension,21
107,Essential Hypertension,7
108,Hypotension,4
109,Post-Exercise Hypotension,1
110,Optic Neuropathy,1
111,Raynaud Disease,1
112,CREST Syndrome,3
113,Reperfusion Injury,1
114,Spinal Cord Ischemia,2
115,Ataxia Telangiectasia,10
116,Arteritis,0
117,Polyarteritis Nodosa,0
118,Behcet Syndrome,0
119,Systemic Vasculitis,0
120,Rheumatoid Vasculitis,1
121,Cardiovascular Infection,2
122,Hemorrhoid,0
123,Peripheral Vascular Disease,2
124,Vascular Neoplasm,2
