,nodesName,dbID
0,['Interleukin-37 signaling'],9008059
1,['G beta:gamma signalling through PI3Kgamma'],392451
2,['Integrin cell surface interactions'],216083
3,['Fatty acids'],211935
4,['Metabolism of Angiotensinogen to Angiotensins'],2022377
5,['Tie2 Signaling'],210993
6,"['NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux', 'LXRs regulate gene expression linked to cholesterol transport and efflux']",9029569
7,"['Platelet activation, signaling and aggregation']",76002
8,['Biosynthesis of EPA-derived SPMs'],9018679
9,['Calcitonin-like ligand receptors'],419812
10,['Activation of anterior HOX genes in hindbrain development during early embryogenesis'],5617472
11,['Physiological factors'],5578768
12,['Defective B3GAT3 causes JDSSDHD'],3560801
13,"['Defective B4GALT7 causes EDS, progeroid type']",3560783
14,['ESR-mediated signaling'],8939211
15,['Chondroitin sulfate/dermatan sulfate metabolism'],1793185
16,['Blood group systems biosynthesis'],9033658
17,['EPH-Ephrin signaling'],2682334
18,['Biosynthesis of specialized proresolving mediators (SPMs)'],9018678
19,['TFAP2 (AP-2) family regulates transcription of other transcription factors'],8866906
20,['Cardiac conduction'],5576891
21,['Ion homeostasis'],5578775
22,['Acyl chain remodeling of CL'],1482798
23,['Synthesis of PG'],1483148
24,['NTF3 activates NTRK3 signaling'],9034013
25,['Intracellular oxygen transport'],8981607
26,['Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors'],8864260
27,['TFAP2 (AP-2) family regulates transcription of growth factors and their receptors'],8866910
28,['Signaling by NTRK3 (TRKC)'],9034015
29,"['FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes']",9615017
30,['HCN channels'],1296061
31,['Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)'],5619053
32,['Adrenoceptors'],390696
33,['Voltage gated Potassium channels'],1296072
34,"['Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia']",5678420
35,['Adenosine P1 receptors'],417973
36,"['Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)']",5619092
37,['Defective Base Excision Repair Associated with NEIL3'],9629232
38,['Synthesis of Ketone Bodies'],77111
39,['Defective ABCA1 causes Tangier disease'],5682113
40,['Transport of fatty acids'],804914
41,"['Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)']",5619039
42,['Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)'],5619066
43,['Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)'],5619108
44,['GP1b-IX-V activation signalling'],430116
45,['alpha-linolenic acid (ALA) metabolism'],2046106
46,['JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1'],450321
47,['Myoclonic epilepsy of Lafora'],3785653
48,['MPS II - Hunter syndrome'],2206296
49,['Metabolism of lipids'],556833
50,['Citric acid cycle (TCA cycle)'],71403
51,['Metabolism of proteins'],392499
52,['Signaling by NOTCH2'],1980145
53,"['TNFR2 non-canonical NF-kB pathway', 'TNFRSF mediated non-canonical NF-kB pathway']",5668541
54,['Signaling by TGF-beta family members'],9006936
55,['Signaling by BMP'],201451
56,['Transcriptional Regulation by MECP2'],8986944
57,['Pre-NOTCH Transcription and Translation'],1912408
58,['Uptake and function of anthrax toxins'],5210891
