,name,Identifier
0,Cardiovascular,R-HSA-9008059
1,Cardiovascular,R-HSA-392451
2,Cardiovascular,R-HSA-216083
3,Cardiovascular,R-HSA-211935
4,Cardiovascular,R-HSA-2022377
5,Cardiovascular,R-HSA-210993
6,Cardiovascular,R-HSA-9029569
7,Cardiovascular,R-HSA-76002
8,Cardiovascular,R-HSA-9018679
9,Cardiovascular,R-HSA-419812
10,Cardiovascular,R-HSA-5617472
11,Cardiovascular,R-HSA-5578768
12,Cardiovascular,R-HSA-3560801
13,Cardiovascular,R-HSA-3560783
14,Cardiovascular,R-HSA-8939211
15,Cardiovascular,R-HSA-1793185
16,Cardiovascular,R-HSA-9033658
17,Cardiovascular,R-HSA-2682334
18,Cardiovascular,R-HSA-9651496
19,Cardiovascular,R-HSA-9018678
20,Heart,R-HSA-3560801
21,Heart,R-HSA-8866906
22,Heart,R-HSA-5576891
23,Heart,R-HSA-5578775
24,Heart,R-HSA-1482798
25,Heart,R-HSA-1483148
26,Heart,R-HSA-9034013
27,Heart,R-HSA-8981607
28,Heart,R-HSA-8864260
29,Heart,R-HSA-8866910
30,Heart,R-HSA-9034015
31,Heart,R-HSA-9615017
32,Heart,R-HSA-1296061
33,Heart,R-HSA-5619053
34,Heart,R-HSA-390696
35,Heart,R-HSA-1296072
36,Heart,R-HSA-5678420
37,Heart,R-HSA-417973
38,Heart,R-HSA-5619092
39,Heart,R-HSA-9629232
40,Heart,R-HSA-77111
41,Heart,R-HSA-1793185
42,Heart,R-HSA-5682113
43,Heart,R-HSA-804914
44,Heart,R-HSA-5619039
45,Heart,R-HSA-5619066
46,Heart,R-HSA-5619108
47,Heart,R-HSA-430116
48,Heart,R-HSA-2046106
49,Heart,R-HSA-450321
50,Heart,R-HSA-3785653
51,Heart,R-HSA-2206296
52,Heart,R-HSA-556833
53,Heart,R-HSA-71403
54,Heart,R-HSA-392499
55,Heart,R-HSA-1980145
56,Heart,R-HSA-5668541
57,Heart,R-HSA-9006936
58,Heart,R-HSA-201451
59,Heart,R-HSA-8986944
60,22q11,R-HSA-372449
61,DiGeorge,R-HSA-372449
62,Alagille,R-HSA-1980145
63,Alagille,R-HSA-1912408
64,Aortic,R-HSA-9008177
65,Aortic,R-HSA-2168046
66,Aortic,R-HSA-5654224
67,Aortic,R-HSA-5654167
68,Aortic,R-HSA-5654159
69,Aortic,R-HSA-9008188
70,Aortic,R-HSA-445792
71,Aortic,R-HSA-977096
72,Aortic,R-HSA-5654163
73,Aortic,R-HSA-5655244
74,Aortic,R-HSA-5655343
75,Aortic,R-HSA-5655313
