,name,numbers
0,Cardiovascular,20
1,Heart,40
2,DiGeorge,1
3,Alagille,2
4,Aortic,14
5,Ventricular,4
6,Cor,9
7,Coronary,5
8,Vessel,10
9,Anomalies,7
10,Anomalous,1
11,Artery,1
12,Bland,6
13,Garland,1
14,Myocardial,4
15,Bridging,3
16,Ebstein,2
17,Anomaly,5
18,Ectopia,1
19,Persistent,13
20,Atrial,3
21,Heterotaxy,1
22,Hypoplastic,0
23,Myocardium,3
24,LEOPARD,1
25,Marfan,1
26,Transposition,2
27,Vessels,14
28,Corrected,6
29,Arteries,4
30,Vascular,61
31,Malformations,7
32,Carotid-Cavernous,1
33,Sinus,4
34,Intracranial,1
35,Vein,5
36,Venous,2
37,Cavernous,0
38,Ligament,2
39,Umbilical,2
40,Arterio-Arterial,6
41,Subacute,1
42,Tuberculosis,25
43,Pericarditis,0
44,Tuberculous,19
45,Arrhythmias,3
46,Cardiac,32
47,Arrhythmia,1
48,Fibrillation,1
49,Flutter,0
50,Bradycardia,0
51,Adams-Stokes,15
52,Atrioventricular,1
53,Bundle-Branch,19
54,Sinoatrial,1
55,Andersen,14
56,Jervell-Lange,20
57,Nielsen,19
58,Romano-Ward,40
59,Lown-Ganong-Levine,22
60,Tachycardia,1
61,Paroxysmal,0
62,Nodal,8
63,Reentry,2
64,Ectopic,6
65,Accelerated,9
66,Rhythm,2
67,Pointes,4
68,Conduction,10
69,Cardiomegaly,1
70,Cardiomyopathy,7
71,Dilated,2
72,Hypertrophy,2
73,Cardiomyopathies,1
74,Alcoholic,1
75,Hypertrophic,6
76,Restrictive,2
77,Diabetic,7
78,Fibrosis,12
79,Reperfusion,2
80,Myocarditis,0
81,Cardiotoxicity,1
82,Aneurysm,1
83,Edema,7
84,Diastolic,1
85,Systolic,1
86,Neoplasms,9
87,Carney,1
88,Rupture,3
89,Valve,2
90,Insufficiency,3
91,Prolapse,0
92,Mitral,0
93,Ischemia,5
94,Angina,1
95,Pectoris,1
96,Microvascular,9
97,Restenosis,1
98,Thrombosis,8
99,Vasospasm,0
100,Coronary-Subclavian,5
101,Infarction,2
102,Anterior,9
103,Elevation,7
104,Pericardial,0
105,Rheumatic,2
106,Complications,5
107,Embolism,6
108,Amniotic,1
109,Carotid,1
110,Dissection,6
111,Loeys-Dietz,4
112,Vertebral,3
113,Thoracic,1
114,Arterial,6
115,Bacillary,3
116,Klippel-Trenaunay-Weber,29
117,Sturge-Weber,29
118,Hippel-Lindau,1
119,Angioedema,4
120,Angioedemas,2
121,Takayasu,2
122,Arteritis,0
123,Arteriosclerosis,0
124,Atherosclerosis,19
125,Dementia,8
126,Intermittent,2
127,Atrophic,0
128,Mesenteric,1
129,Capillary,4
130,Cerebrovascular,2
131,Ganglia,4
132,Hemorrhage,1
133,Lateral,13
134,Medullary,3
135,Cerebral,6
136,CADASIL,2
137,Posterior,10
138,Hypoxia-Ischemia,28
139,Ischemic,1
140,Amyloid,10
141,Fabry,1
142,MELAS,0
143,Microscopic,1
144,Polyangiitis,0
145,Trauma,5
146,Traumatic,1
147,Hemorrhages,1
148,Hypertensive,1
149,Cranial,8
150,Pituitary,13
151,Sneddon,2
152,Vasculitis,1
153,AIDS,1
154,Lupus,1
155,Colitis,1
156,Hypertension,6
157,Retinopathy,5
158,Thromboembolism,1
159,Paradoxical,1
160,Budd-Chiari,6
161,Hemostatic,2
162,Ehlers-Danlos,6
163,Myeloma,9
164,Pseudoxanthoma,1
165,Elasticum,1
166,Purpura,0
167,Phenomenon,6
168,Telangiectasia,4
169,Hemorrhagic,1
170,Waldenstrom,0
171,Macroglobulinemia,0
172,Renovascular,0
173,Hypotension,4
174,Orthostatic,1
175,Shy-Drager,2
176,Optic,4
177,Neuropathy,7
178,Raynaud,3
179,Splenic,1
180,Superior,2
181,Cava,1
182,Ataxia,9
183,Cervical,8
184,Rib,9
185,Ulcer,14
186,Polyarteritis,0
187,Nodosa,0
188,Behcet,0
189,Mucocutaneous,1
190,Lymph,4
191,Schoenlein-Henoch,2
192,Churg-Strauss,2
193,Granulomatosis,0
194,Rheumatoid,6
