,0,1,2
10159,R-HSA-164843,2-LTR circle formation,Homo sapiens
10160,R-HSA-73843,5-Phosphoribose 1-diphosphate biosynthesis,Homo sapiens
10161,R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,Homo sapiens
10162,R-HSA-5619084,ABC transporter disorders,Homo sapiens
10163,R-HSA-1369062,ABC transporters in lipid homeostasis,Homo sapiens
10164,R-HSA-382556,ABC-family proteins mediated transport,Homo sapiens
10165,R-HSA-9033807,ABO blood group biosynthesis,Homo sapiens
10166,R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production,Homo sapiens
10167,R-HSA-418592,ADP signalling through P2Y purinoceptor 1,Homo sapiens
10168,R-HSA-392170,ADP signalling through P2Y purinoceptor 12,Homo sapiens
10169,R-HSA-198323,AKT phosphorylates targets in the cytosol,Homo sapiens
10170,R-HSA-198693,AKT phosphorylates targets in the nucleus,Homo sapiens
10171,R-HSA-211163,AKT-mediated inactivation of FOXO1A,Homo sapiens
10172,R-HSA-112122,ALKBH2 mediated reversal of alkylation damage,Homo sapiens
10173,R-HSA-112126,ALKBH3 mediated reversal of alkylation damage,Homo sapiens
10174,R-HSA-4839748,AMER1 mutants destabilize the destruction complex,Homo sapiens
10175,R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,Homo sapiens
10176,R-HSA-5467333,APC truncation mutants are not K63 polyubiquitinated,Homo sapiens
10177,R-HSA-5467337,APC truncation mutants have impaired AXIN binding,Homo sapiens
10178,R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,Homo sapiens
10179,R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,Homo sapiens
10180,R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,Homo sapiens
10181,R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,Homo sapiens
10182,R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,Homo sapiens
10183,R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,Homo sapiens
10184,R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,Homo sapiens
10185,R-HSA-5649702,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Homo sapiens
10186,R-HSA-180689,APOBEC3G mediated resistance to HIV-1 infection,Homo sapiens
10187,R-HSA-5624958,ARL13B-mediated ciliary trafficking of INPP5E,Homo sapiens
10188,R-HSA-170984,ARMS-mediated activation,Homo sapiens
10189,R-HSA-380994,ATF4 activates genes in response to endoplasmic reticulum  stress,Homo sapiens
10190,R-HSA-381183,ATF6 (ATF6-alpha) activates chaperone genes,Homo sapiens
10191,R-HSA-381033,ATF6 (ATF6-alpha) activates chaperones,Homo sapiens
10192,R-HSA-1296025,ATP sensitive Potassium channels,Homo sapiens
10193,R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,Homo sapiens
10194,R-HSA-8854518,AURKA Activation by TPX2,Homo sapiens
10195,R-HSA-5467340,AXIN missense mutants destabilize the destruction complex,Homo sapiens
10196,R-HSA-4839735,"AXIN mutants destabilize the destruction complex, activating WNT signaling",Homo sapiens
10197,R-HSA-2161541,Abacavir metabolism,Homo sapiens
10198,R-HSA-2161517,Abacavir transmembrane transport,Homo sapiens
10199,R-HSA-2161522,Abacavir transport and metabolism,Homo sapiens
10200,R-HSA-73930,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Homo sapiens
10201,R-HSA-2978092,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Homo sapiens
10202,R-HSA-167242,Abortive elongation of HIV-1 transcript in the absence of Tat,Homo sapiens
10203,R-HSA-156582,Acetylation,Homo sapiens
10204,R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,Homo sapiens
10205,R-HSA-181431,Acetylcholine binding and downstream events,Homo sapiens
10206,R-HSA-399997,Acetylcholine regulates insulin secretion,Homo sapiens
10207,R-HSA-1300645,Acrosome Reaction and Sperm:Oocyte Membrane Binding,Homo sapiens
10208,R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,Homo sapiens
10209,R-HSA-9032845,Activated NTRK2 signals through CDK5,Homo sapiens
10210,R-HSA-9028731,Activated NTRK2 signals through FRS2 and FRS3,Homo sapiens
10211,R-HSA-9032500,Activated NTRK2 signals through FYN,Homo sapiens
10212,R-HSA-9028335,Activated NTRK2 signals through PI3K,Homo sapiens
10213,R-HSA-9026527,Activated NTRK2 signals through PLCG1,Homo sapiens
10214,R-HSA-9026519,Activated NTRK2 signals through RAS,Homo sapiens
10215,R-HSA-9603381,Activated NTRK3 signals through PI3K,Homo sapiens
10216,R-HSA-9034793,Activated NTRK3 signals through PLCG1,Homo sapiens
10217,R-HSA-9034864,Activated NTRK3 signals through RAS,Homo sapiens
10218,R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,Homo sapiens
10219,R-HSA-2033519,Activated point mutants of FGFR2,Homo sapiens
10220,R-HSA-111452,Activation and oligomerization of BAK protein,Homo sapiens
10221,R-HSA-165158,Activation of AKT2,Homo sapiens
10222,R-HSA-399710,Activation of AMPA receptors,Homo sapiens
10223,R-HSA-9619483,Activation of AMPK downstream of NMDARs,Homo sapiens
10224,R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,Homo sapiens
10225,R-HSA-176187,Activation of ATR in response to replication stress,Homo sapiens
