id,name
C14,Cardiovascular Diseases
C14.240,Cardiovascular Abnormalities
C14.240.400,"Heart Defects, Congenital"
C14.240.400.021,22q11 Deletion Syndrome
C14.240.400.021.500,DiGeorge Syndrome
C14.240.400.044,Alagille Syndrome
C14.240.400.090,Aortic Coarctation
C14.240.400.145,Arrhythmogenic Right Ventricular Dysplasia
C14.240.400.172,Barth Syndrome
C14.240.400.200,Cor Triatriatum
C14.240.400.210,Coronary Vessel Anomalies
C14.240.400.210.125,Anomalous Left Coronary Artery
C14.240.400.210.249,Bland White Garland Syndrome
C14.240.400.210.500,Myocardial Bridging
C14.240.400.220,Crisscross Heart
C14.240.400.280,Dextrocardia
C14.240.400.280.500,Kartagener Syndrome
C14.240.400.340,"Ductus Arteriosus, Patent"
C14.240.400.395,Ebstein Anomaly
C14.240.400.422,Ectopia Cordis
C14.240.400.450,Eisenmenger Complex
C14.240.400.560,Heart Septal Defects
C14.240.400.560.098,Aortopulmonary Septal Defect
C14.240.400.560.098.500,"Truncus Arteriosus, Persistent"
C14.240.400.560.350,Endocardial Cushion Defects
C14.240.400.560.375,"Heart Septal Defects, Atrial"
C14.240.400.560.375.258,"Foramen Ovale, Patent"
C14.240.400.560.375.518,Lutembacher Syndrome
C14.240.400.560.540,"Heart Septal Defects, Ventricular"
C14.240.400.592,Heterotaxy Syndrome
C14.240.400.625,Hypoplastic Left Heart Syndrome
C14.240.400.660,Isolated Noncompaction of the Ventricular Myocardium
C14.240.400.695,LEOPARD Syndrome
C14.240.400.701,Levocardia
C14.240.400.725,Marfan Syndrome
C14.240.400.787,Noonan Syndrome
C14.240.400.849,Tetralogy of Fallot
C14.240.400.915,Transposition of Great Vessels
C14.240.400.915.150,Congenitally Corrected Transposition of the Great Arteries
C14.240.400.915.300,Double Outlet Right Ventricle
C14.240.400.920,Tricuspid Atresia
C14.240.400.960,Trilogy of Fallot
C14.240.400.970,Trisomy 13 Syndrome
C14.240.400.975,Trisomy 18 Syndrome
C14.240.400.980,Turner Syndrome
C14.240.400.990,Univentricular Heart
C14.240.850,Vascular Malformations
C14.240.850.750,Arteriovenous Malformations
C14.240.850.750.147,Arteriovenous Fistula
C14.240.850.750.147.500,Carotid-Cavernous Sinus Fistula
C14.240.850.750.295,Intracranial Arteriovenous Malformations
C14.240.850.750.295.500,Vein of Galen Malformations
C14.240.850.875,Central Nervous System Vascular Malformations
C14.240.850.875.124,Central Nervous System Venous Angioma
C14.240.850.875.249,"Hemangioma, Cavernous, Central Nervous System"
C14.240.850.875.500,Intracranial Arteriovenous Malformations
C14.240.850.875.500.500,Vein of Galen Malformations
C14.240.850.875.750,Sinus Pericranii
C14.240.850.906,May-Thurner Syndrome
C14.240.850.922,Median Arcuate Ligament Syndrome
C14.240.850.937,Pulmonary Atresia
C14.240.850.968,Scimitar Syndrome
C14.240.850.976,Single Umbilical Artery
C14.240.850.984,Vascular Fistula
C14.240.850.984.500,Arterio-Arterial Fistula
C14.240.850.984.500.500,Bland White Garland Syndrome
C14.240.850.984.750,Arteriovenous Fistula
C14.240.850.984.750.500,Carotid-Cavernous Sinus Fistula
C14.240.850.992,Vascular Ring
C14.260,Cardiovascular Infections
C14.260.249,"Endocarditis, Bacterial"
C14.260.249.407,"Endocarditis, Subacute Bacterial"
C14.260.500,"Syphilis, Cardiovascular"
C14.260.750,"Tuberculosis, Cardiovascular"
C14.260.750.595,"Pericarditis, Tuberculous"
C14.280,Heart Diseases
C14.280.067,"Arrhythmias, Cardiac"
C14.280.067.093,"Arrhythmia, Sinus"
C14.280.067.093.249,Sick Sinus Syndrome
C14.280.067.093.500,"Sinus Arrest, Cardiac"
C14.280.067.198,Atrial Fibrillation
C14.280.067.248,Atrial Flutter
C14.280.067.319,Bradycardia
C14.280.067.322,Brugada Syndrome
C14.280.067.325,"Cardiac Complexes, Premature"
C14.280.067.325.250,Atrial Premature Complexes
C14.280.067.325.500,Ventricular Premature Complexes
C14.280.067.441,Commotio Cordis
C14.280.067.558,Heart Block
C14.280.067.558.137,Adams-Stokes Syndrome
C14.280.067.558.230,Atrioventricular Block
C14.280.067.558.323,Bundle-Branch Block
C14.280.067.558.430,Interatrial Block
C14.280.067.558.536,Sick Sinus Syndrome
C14.280.067.558.750,Sinoatrial Block
C14.280.067.565,Long QT Syndrome
C14.280.067.565.070,Andersen Syndrome
C14.280.067.565.440,Jervell-Lange Nielsen Syndrome
C14.280.067.565.720,Romano-Ward Syndrome
C14.280.067.672,Parasystole
C14.280.067.780,Pre-Excitation Syndromes
C14.280.067.780.560,Lown-Ganong-Levine Syndrome
C14.280.067.780.770,"Pre-Excitation, Mahaim-Type"
C14.280.067.780.977,Wolff-Parkinson-White Syndrome
C14.280.067.845,Tachycardia
C14.280.067.845.695,"Tachycardia, Paroxysmal"
C14.280.067.845.787,"Tachycardia, Reciprocating"
C14.280.067.845.787.249,"Tachycardia, Atrioventricular Nodal Reentry"
C14.280.067.845.787.500,"Tachycardia, Sinoatrial Nodal Reentry"
C14.280.067.845.880,"Tachycardia, Supraventricular"
C14.280.067.845.880.315,"Tachycardia, Ectopic Atrial"
C14.280.067.845.880.320,"Tachycardia, Ectopic Junctional"
C14.280.067.845.880.845,"Tachycardia, Sinus"
C14.280.067.845.940,"Tachycardia, Ventricular"
C14.280.067.845.940.349,Accelerated Idioventricular Rhythm
C14.280.067.845.940.700,Torsades de Pointes
C14.280.067.922,Ventricular Fibrillation
C14.280.067.961,Ventricular Flutter
C14.280.104,Carcinoid Heart Disease
C14.280.123,Cardiac Conduction System Disease
C14.280.123.250,Brugada Syndrome
C14.280.123.375,"Cardiac Complexes, Premature"
C14.280.123.375.250,Atrial Premature Complexes
C14.280.123.375.500,Ventricular Premature Complexes
C14.280.123.500,Heart Block
C14.280.123.500.137,Adams-Stokes Syndrome
C14.280.123.500.230,Atrioventricular Block
C14.280.123.500.323,Bundle-Branch Block
C14.280.123.500.430,Interatrial Block
C14.280.123.500.536,Sick Sinus Syndrome
C14.280.123.500.750,Sinoatrial Block
C14.280.123.625,Long QT Syndrome
C14.280.123.625.070,Andersen Syndrome
C14.280.123.625.440,Jervell-Lange Nielsen Syndrome
C14.280.123.625.720,Romano-Ward Syndrome
C14.280.123.750,Pre-Excitation Syndromes
C14.280.123.750.560,Lown-Ganong-Levine Syndrome
C14.280.123.750.770,"Pre-Excitation, Mahaim-Type"
C14.280.123.750.977,Wolff-Parkinson-White Syndrome
C14.280.123.875,Tachycardia
C14.280.123.875.695,"Tachycardia, Paroxysmal"
C14.280.123.875.787,"Tachycardia, Reciprocating"
C14.280.123.875.787.249,"Tachycardia, Atrioventricular Nodal Reentry"
C14.280.123.875.787.500,"Tachycardia, Sinoatrial Nodal Reentry"
C14.280.123.875.880,"Tachycardia, Supraventricular"
C14.280.123.875.880.315,"Tachycardia, Ectopic Atrial"
C14.280.123.875.880.320,"Tachycardia, Ectopic Junctional"
C14.280.123.875.880.845,"Tachycardia, Sinus"
C14.280.123.875.940,"Tachycardia, Ventricular"
C14.280.123.875.940.349,Accelerated Idioventricular Rhythm
C14.280.123.875.940.700,Torsades de Pointes
C14.280.142,"Cardiac Output, High"
C14.280.148,"Cardiac Output, Low"
C14.280.155,Cardiac Tamponade
C14.280.195,Cardiomegaly
C14.280.195.160,"Cardiomyopathy, Dilated"
C14.280.195.400,"Hypertrophy, Left Ventricular"
C14.280.195.410,"Hypertrophy, Right Ventricular"
C14.280.238,Cardiomyopathies
C14.280.238.028,Arrhythmogenic Right Ventricular Dysplasia
C14.280.238.057,"Cardiomyopathy, Alcoholic"
C14.280.238.070,"Cardiomyopathy, Dilated"
